word,count
work ,52
working ,42
team ,38
digital ,38
technical ,30
solutions ,26
platform ,26
teams ,24
business ,22
solution ,22
knowledge ,22
explorer ,22
number ,20
potential ,20
enterprise ,20
architecture ,20
internal ,18
client ,18
clients ,16
offering ,16
innovation ,16
development ,16
outlined ,16
organization ,16
projects ,16
reality ,16
key ,14
workplace ,14
graph ,14
services ,14
design ,14
partners ,12
will ,12
people ,12
augmented ,12
software ,12
community ,12
events ,12
experience ,12
project ,12
product ,10
leadership ,10
defined ,10
technology ,10
requirements ,10
capabilities ,10
activities ,10
transformation ,10
mixed ,10
outline ,10
